буэнос-айрес,аргентина,буэнос-айрес	Buenos_Aires
жарновица,словакия,жарновица	Žarnovica
звежинец,повить,замойский повенок,польша,звежинец	Zwierzyniec
инчиз-ин-валя-д’арно,италия,инчиза-ин-валь-д’арно	Incisa_in_Val_d'Arno
западный берлин,западный берлин	West_Berlin
иллорай,италия,иллораи	Illorai
инчиз-скапаччино,италия,инчиза-скапаччино	Incisa_Scapaccino
згургол,италия,згургола	Sgurgola
кортон,италия,кортона	Cortona
куала-лумпур,малайзия,куала-лумпур	Kuala_Lumpur
костерево,россия,владимирский область,костерёво	Kosteryovo
майбар,,майбара	Maibara,_Shiga
кырыккал,турция,кырыккале	Kırıkkale
кастильех-де-гусман,испания,кастильеха-де-гусман	Castilleja_de_Guzmán
карлаццо,италия,карлаццо	Carlazzo
лоренцан,,лоренцана	Lorenzana
каньяд-вельид,испания,каньяда-вельида	Cañada_Vellida
либби,монтан,соединять штат америка,сша,америка,либби	Libby,_Montana
кастиньяно,италия,кастиньяно	Castignano
капальбио,италия,капальбио	Capalbio
мохолл,дакота,северный дакота,соединять штат америка,сша,америка,мохолл	Mohall,_North_Dakota
каццано-ди-траминья,италия,каццано-ди-траминья	Cazzano_di_Tramigna
корнал,италия,корнале	Cornale
кабрас,италия,кабрас	Cabras,_Sardinia
лансинг,соединять штат америка,сша,америка,лансинг	Lansing,_Michigan
клещель,польша,клещеле	Kleszczele
кампильо-де-аранд,испания,кампильо-де-аранда	Campillo_de_Aranda
крупа-на-уни,босния и герцеговина,крупа-на-уни	Krupa_na_Uni
ментан,италия,ментана	Mentana
кендрапар,индия,кендрапара	Kendrapara
кастельнуово-бормида,италия,кастельнуово-бормида	Castelnuovo_Bormida
кайюн,город,миннесота,соединять штат америка,сша,америка,кайюна	Cuyuna,_Minnesota
лондон,великобритания,лондон	London
кед,грузия,кеда	Keda,_Georgia
кароэби,бразилия,кароэби	Caroebe
кониля-де-ла-фронтер,испания,кониль-де-ла-фронтера	Conil_de_la_Frontera
карталы,россия,челябинский область,карталы	Kartaly
легьоново,польша,легьоново	Legionowo
ковар,польша,ковары	Kowary
карриас,испания,карриас	Carrias
карденьяхименый,испания,карденьяхимено	Cardeñajimeno
монтебелло-йонико,италия,монтебелло-йонико	Montebello_Ionico
кальдера,коммуна,чили,кальдера	Caldera,_Chile
косуэнд,испания,косуэнда	Cosuenda
монт,италия,монта	Montà
кетанаб,япония,кётанабе	Kyōtanabe,_Kyoto
монтеккьо-прекальчино,италия,монтеккьо-прекальчино	Montecchio_Precalcino
кацурага,город,,кацураги	Katsuragi,_Nara
массименый,италия,массимено	Massimeno
ломинчар,испания,ломинчар	Lominchar
кастель-ди-сангро,италия,кастель-ди-сангро	Castel_di_Sangro
корва,иран,корве	Qorveh
корсьон,италия,корсьоне	Corsione
кайруан,тунис,кайруан	Kairouan
миноо,япония,осака,миноо	Minoh,_Osaka
кеммерер,вайоминг,,кеммерер	Kemmerer,_Wyoming
камильяно,италия,камильяно	Camigliano
костильол-д’асти,италия,костильоле-д’асти	Costigliole_d'Asti
мерида,юкатан,мексика,мерида	Mérida,_Yucatán
кампаньола-кремаска,италия,кампаньола-кремаска	Campagnola_Cremasca
мориджерать,италия,мориджерати	Morigerati
копривница,хорватия,копривница	Koprivnica
лилидейл,город,миннесота,соединять штат америка,сша,америка,лилидейл	Lilydale,_Minnesota
кировград,россия,свердловский область,кировград	Kirovgrad
морристаун,город,миннесота,соединять штат америка,сша,америка,морристаун	Morristown,_Minnesota
лонгано,италия,лонгано	Longano
каштел,хорватия,каштела	Kaštela
месолонгион,греция,месолонгион	Missolonghi
липник-над-бечвоу,чехия,липник-над-бечвоу	Lipník_nad_Bečvou
коллио,италия,коллио	Collio
михаловец,словакия,михаловце	Michalovce
кирхберг-ама-вальд,австрия,кирхберг-ам-вальде	Kirchberg_am_Walde
мартиниана-по,италия,мартиниана-по	Martiniana_Po
место-тоушки,чехия,место-тоушков	Město_Touškov
кат,бразилия,кату	Catu
касбас-де-уэска,испания,касбас-де-уэска	Casbas_de_Huesca
крейг,аляска,,крейг	Craig,_Alaska
маджарово,болгария,маджарово	Madzharovo
ла-пуэбла-де-касалья,испания,ла-пуэбла-де-касалья	La_Puebla_de_Cazalla
мелвилл,саскачеван,канада,мелвилл	Melville,_Saskatchewan
контурси-терм,италия,контурси-терме	Contursi_Terme
киес,,киёсе	Kiyose,_Tokyo
миттерзилля,австрия,миттерзилль	Mittersill
мондаина,италия,мондаино	Mondaino
криспьяно,италия,криспьяно	Crispiano
мимасака,,мимасака	Mimasaka,_Okayama
лауфенбург,баден,германия,лауфенбург	Laufenburg,_Germany
лимон-пьемонт,италия,лимоне-пьемонте	Limone_Piemonte
каравино,италия,каравино	Caravino
кастельвисконти,италия,кастельвисконти	Castelvisconti
москьяно,италия,москьяно	Moschiano
кастельнуово-кальчеа,италия,кастельнуово-кальчеа	Castelnuovo_Calcea
мацуур,город,,мацуура	Matsuura,_Nagasaki
мальный,испания,мальен	Mallén
кассинаско,италия,кассинаско	Cassinasco
ласа-пеньяс-де-риглос,испания,лас-пеньяс-де-риглос	Las_Peñas_de_Riglos
кирхберг-на-пилаха,австрия,кирхберг-на-пилахе	Kirchberg_an_der_Pielach
лора-дель-рио,испания,лора-дель-рио	Lora_del_Río
кастельфранко-ди-сотто,италия,кастельфранко-ди-сотто	Castelfranco_di_Sotto
каина,италия,италия,каино	Caino
кристийнанкаупунки,,кристийнанкаупунки	Kristinestad
касгандж,индия,касгандж	Kasganj
ласа-пиньяс,,лас-пиньяс	Las_Piñas
кьяучи,италия,кьяучи	Chiauci
китра,,китры	Chytri
каспийск,россия,дагестан,каспийск	Kaspiysk
мария-верт,австрия,мария-вёрт	Maria_Wörth
манкейто,город,миннесота,соединять штат америка,сша,америка,манкейто	Mankato,_Minnesota
казакандителла,италия,казакандителла	Casacanditella
монт-видон-комбатт,италия,монте-видон-комбатте	Monte_Vidon_Combatte
маргита,румыния,маргита	Marghita
месас-де-ибор,испания,месас-де-ибор	Mesas_de_Ibor
монтаназо-лобмардо,италия,монтаназо-лобмардо	Montanaso_Lombardo
ла-гальега,испания,ла-гальега	La_Gallega
кавасаки,город,,кавасаки	Kawasaki,_Kanagawa
коганея,япония,коганеи	Koganei,_Tokyo
киселяк,босния и герцеговина,киселяк	Kiseljak
кастролиберо,италия,кастролиберо	Castrolibero
клайнцелль,австрия,клайнцелль	Kleinzell
канцано,италия,канцано	Canzano
кампала,уганда,кампала	Kampala
линьфэнь,китайский народный республика,китай,кнр,линьфэнь	Linfen
менделеевск,россия,татарстан,менделеевск	Mendeleyevsk
мол-ди-бари,италия,мола-ди-бари	Mola_di_Bari
ляочэн,китайский народный республика,китай,кнр,ляочэн	Liaocheng
лоцио,италия,лоцио	Lozio
мелито-ди-наполоть,италия,мелито-ди-наполи	Melito_di_Napoli
кастель-ди-юдик,италия,кастель-ди-юдика	Castel_di_Iudica
магерный,италия,магерно	Magherno
козенца,италия,козенца	Cosenza
ланцо-торинез,италия,ланцо-торинезе	Lanzo_Torinese
мосальск,россия,мосальск	Mosalsk
кетчум,соединять штат америка,сша,америка,кетчум	Ketchum,_Idaho
каварскас,литва,каварскас	Kavarskas
лишанный-никкон,италия,лишано-никконе	Lisciano_Niccone
кастильон-д’адда,италия,кастильоне-д’адда	Castiglione_d'Adda
монт-кавалло,италия,монте-кавалло	Monte_Cavallo
мартинсберг,виргиния,западный виргиния,соединять штат америка,сша,америка,мартинсберг	Martinsburg,_West_Virginia
мигель-алеман,тамаулипас,,мигель-алеман	Miguel_Alemán,_Tamaulipas
ла-перние,испания,ла-перния	La_Pernía
мармор,италия,мармора	Marmora,_Piedmont
мадурай,индия,мадурай	Madurai
линиваться,китайский народный республика,китай,кнр,линься	Linxia_City
майами,техас,соединять штат америка,сша,америка,майами	Miami,_Texas
мельбурн,австралия,мельбурн	Melbourne
керкрад,нидерланды,керкраде	Kerkrade
керенда-э-герб,иран,керенд-э-герб	Kerend-e_Gharb
мичуринск,россия,тамбовский область,мичуринск	Michurinsk
митьян,уганда,митьяна	Mityana
куарантить,италия,куаранти	Quaranti
кайнан,,кайнан	Kainan,_Wakayama
кониоло,италия,кониоло	Coniolo
кочча,,коччи	Kochi
монт-ринальдо,италия,монте-ринальдо	Monte_Rinaldo
майозамальха,,майозамальха	Maogamalcha
мошендорф,бургенланд,австрия,мошендорф	Moschendorf
маунт-хаген,папуа — новый гвинея,маунт-хаген	Mount_Hagen
касас-дель-пуэрто-де-вильяторо,испания,касас-дель-пуэрто-де-вильяторо	Casas_del_Puerto_de_Villatoro
кадзо,,кадзо	Kazo,_Saitama
курск,россия,курская область,курск	Kursk
кшепица,польша,кшепице	Krzepice
кодигоро,италия,кодигоро	Codigoro
киселевск,россия,кемеровский область,киселёвск	Kiselyovsk
карпинон,италия,карпиноне	Carpinone
кук,город,миннесота,соединять штат америка,сша,америка,кук	Cook,_Minnesota
кастехон-де-сос,испания,кастехон-де-сос	Castejón_de_Sos
место-альбрехтица,чехия,место-альбрехтице	Město_Albrechtice
контрон,италия,контроне	Controne
кадорый,италия,кадораго	Cadorago
кандийохай,город,миннесота,соединять штат америка,сша,америка,кандийохай	Kandiyohi,_Minnesota
марба-ан-дер-донау,австрия,марбах-ан-дер-донау	Marbach_an_der_Donau
кеттманнсдорф,австрия,кёттманнсдорф	Köttmannsdorf
монако,монако,монако	Monaco
кассано-ирпино,италия,кассано-ирпино	Cassano_Irpino
монт-серить,соединять штат америка,сша,америка,монте-серено	Monte_Sereno,_California
коссерия,италия,коссерия	Cosseria
малый висок,украина,малая виска	Mala_Vyska
монгуццо,италия,монгуццо	Monguzzo
монезильо,италия,монезильо	Monesiglio
каллабьян,италия,каллабьяна	Callabiana
мэйплвуд,город,миннесота,соединять штат америка,сша,америка,мэйплвуд	Maplewood,_Minnesota
либирать,италия,либери	Liberi
кярдла,эстония,кярдла	Kärdla
мачинать,эквадор,мачала	Machala
мендичина,италия,мендичино	Mendicino
каваллирио,италия,каваллирио	Cavallirio
малькосинадо,испания,малькосинадо	Malcocinado
монтерози,лацио,италия,монтерози	Monterosi
манпхо,корейский народно-демократический республика,кндр,северный корея,манпхо	Manpo
камара-ди-лобуши,португалия,камара-ди-лобуш	Câmara_de_Lobos
магеланг,индонезия,магеланг	Magelang
лудбрег,хорватия,лудбрег	Ludbreg
мальпартид-де-пласенсия,испания,мальпартида-де-пласенсия	Malpartida_de_Plasencia
камподипьетер,италия,камподипьетра	Campodipietra
мироновка,украина,мироновка	Myronivka
куартучча,италия,куартуччу	Quartucciu
керен,республика корея,корея,южный корея,керён	Gyeryong
марсала,сицилия,италия,марсала	Marsala
кицмань,украина,кицмань	Kitsman
куддалор,индия,куддалор	Cuddalore
кобаяси,город,,кобаяси	Kobayashi,_Miyazaki
колледимачин,италия,колледимачине	Colledimacine
кралевский-хльмец,словакия,кралёвски-хльмец	Kráľovský_Chlmec
моргантаун,виргиния,западный виргиния,соединять штат америка,сша,америка,моргантаун	Morgantown,_West_Virginia
мале,провинция,тренто,италия,мале	Malè
лановцы,украина,лановцы	Lanivtsi
мысловица,польша,мысловице	Mysłowice
монторио-романо,италия,монторио-романо	Montorio_Romano
му-и-рана,норвегия,му-и-рана	Mo_i_Rana
лалуэса,испания,лалуэса	Lalueza
кастель-сан-никколо,италия,кастель-сан-никколо	Castel_San_Niccolò
ликсус,,ликсус	Lixus_(ancient_city)
милак,соединять штат америка,сша,америка,милака	Milaca,_Minnesota
камирос,,камирос	Kameiros
монфорте-д’альба,италия,монфорте-д’альба	Monforte_d'Alba
каналь-сан-бово,италия,каналь-сан-бово	Canal_San_Bovo
корнойбург,австрия,корнойбург	Korneuburg
минный,город,нигерия,минна	Minna
кастеллафьюме,италия,кастеллафьюме	Castellafiume
куистелло,италия,куистелло	Quistello
майоло,италия,майоло	Maiolo
кортале,италия,кортале	Cortale
лустенау,австрия,лустенау	Lustenau
ликата,италия,ликата	Licata
молдав-над-бодвоу,словакия,молдава-над-бодвоу	Moldava_nad_Bodvou
карседой-де-буреб,испания,карседо-де-буреба	Carcedo_de_Bureba
кромержижа,чехия,кромержиж	Kroměříž
макран,индия,макрана	Makrana
мешхед,иран,мешхед	Mashhad
любань,польша,польша,любань	Lubań
кастый,италия,касто	Casto
корунья-дель-конда,испания,корунья-дель-конде	Coruña_del_Conde
малетто,италия,малетто	Maletto
манго,италия,италия,манго	Mango,_Piedmont
ла-мат-де-лос-ольмос,испания,ла-мата-де-лос-ольмос	La_Mata_de_los_Olmos
каммек-виллидж,соединять штат америка,сша,америка,каммек-виллидж	Cammack_Village,_Arkansas
майзельдорф,австрия,майзельдорф	Meiseldorf
кьяравалль,италия,кьяравалле	Chiaravalle,_Marche
морикон,италия,мориконе	Moricone
кладно,чехия,кладно	Kladno
ксанф,город,,ксанф	Xanthos
краснобруд,польша,краснобруд	Krasnobród
кизилюрт,россия,дагестан,кизилюрт	Kizilyurt
коллинас,италия,коллинас	Collinas
каорло,италия,каорле	Caorle
катный,,катна	Qatna
конфленти,италия,конфленти	Conflenti
легаспи,город,,легаспи	Legazpi,_Albay
мальяно-ин-тоскана,италия,мальяно-ин-тоскана	Magliano_in_Toscana
ландекка,австрия,ландекк	Landeck
каргов,польша,каргова	Kargowa
миника,индия,миникой	Minicoy
мотль,город,миннесота,соединять штат америка,сша,америка,мотли	Motley,_Minnesota
монтемарывать,италия,монтемарано	Montemarano
морж,город,швейцария,морж	Morges
крако,италия,крако	Craco
камастра,италия,камастра	Camastra
казал-суль-сила,италия,казале-суль-силе	Casale_sul_Sile
каннелтон,соединять штат америка,сша,америка,каннелтон	Cannelton,_Indiana
казакаленд,италия,казакаленда	Casacalenda
кун,айдахо,соединять штат америка,сша,америка,куна	Kuna,_Idaho
койч-ама-зе,австрия,койчах-ам-зе	Keutschach_am_See
манданичи,италия,манданичи	Mandanici
луньякко,италия,луньякко	Lugnacco
лаина,италия,лаино	Laino
модильяна,италия,модильяна	Modigliana
караули,индия,караули	Karauli
кастель-кастанье,италия,кастель-кастанья	Castel_Castagna
леуварден,нидерланды,леуварден	Leeuwarden
мезол,италия,мезола	Mesola
кобулети,,кобулети	Kobuleti
каутцен,австрия,каутцен	Kautzen
лагодехи,,лагодехи	Lagodekhi
констанца,румыния,констанца	Constanța
мохаммадийе,иран,мохаммадийе	Mohammadiyeh
кармьяно,италия,кармьяно	Carmiano
лауфен,базель-ланды,швейцария,лауфен	Laufen,_Switzerland
корсано,италия,корсано	Corsano
мондавио,италия,мондавио	Mondavio
леово,молдавия,леова	Leova
монтеза,италия,монтезе	Montese
латехар,индия,латехар	Latehar
куопио,,куопио	Kuopio
кибартай,литва,кибартай	Kybartai
маццано-романо,италия,маццано-романо	Mazzano_Romano
мафальд,италия,мафальда	Mafalda,_Molise
минерал-спрингс,арканзас,соединять штат америка,сша,америка,минерал-спрингс	Mineral_Springs,_Arkansas
кер-д’ален,айдахо,соединять штат америка,сша,америка,кёр-д’ален	Coeur_d'Alene,_Idaho
кавать,город,греция,кавала	Kavala
морган,город,миннесота,соединять штат америка,сша,америка,морган	Morgan,_Minnesota
меленьяно,италия,меленьяно	Melegnano
маттерсбург,австрия,маттерсбург	Mattersburg
кастрокальбона,,кастрокальбон	Castrocalbón
малолос,провинция,булакан,,малолос	Malolos
кройцштеттен,австрия,кройцштеттен	Kreuzstetten
монсон-де-кампос,испания,монсон-де-кампос	Monzón_de_Campos
комиджан,иран,комиджан	Komijan
мики,город,,мики	Miki,_Hyōgo
манерб-дель-гарда,италия,манерба-дель-гарда	Manerba_del_Garda
манассас,виргиния,,манассас	Manassas,_Virginia
кровьян,италия,кровьяна	Croviana
мак-крори,арканзас,соединять штат америка,сша,америка,мак-крори	McCrory,_Arkansas
монтепульчать,италия,монтепульчано	Montepulciano
казальбуоно,италия,казальбуоно	Casalbuono
казальвеккьо-сикулый,италия,казальвеккьо-сикуло	Casalvecchio_Siculo
коко,флорида,соединять штат америка,сша,америка,коко	Cocoa,_Florida
канталупый-лигур,италия,канталупо-лигуре	Cantalupo_Ligure
кастеллетто-монферрато,италия,кастеллетто-монферрато	Castelletto_Monferrato
льяно-де-буреб,испания,льяно-де-буреба	Llano_de_Bureba
модубарый-де-ла-эмпаредад,испания,модубар-де-ла-эмпаредада	Modúbar_de_la_Emparedada
мотт-ди-ливенец,италия,мотта-ди-ливенца	Motta_di_Livenza
коцк,польша,коцк	Kock
коян,республика корея,корея,южный корея,коян	Goyang
кошице,словакия,кошице	Košice
кайзерсберг,франция,кайзерсберг	Kaysersberg
кутаиси,грузия,кутаиси	Kutaisi
кастельноу,испания,кастельноу	Castelnou
кальванико,италия,кальванико	Calvanico
ловеро,италия,ловеро	Lovero
карозиный,италия,карозино	Carosino
моратува,шри-ланка,моратува	Moratuwa
мурото,,мурото	Muroto,_Kōchi
маршалтаун,айова,соединять штат америка,сша,америка,маршалтаун	Marshalltown,_Iowa
каподимонт,коммуна,италия,каподимонте	Capodimonte,_Lazio
мешкат,иран,мешкат	Meshkat
молин,иллинойс,соединять штат америка,сша,америка,молин	Moline,_Illinois
монтеязи,италия,монтеязи	Monteiasi
караисал,турция,караисалы	Karaisalı
минаб,иран,минаб	Minab
кастельветер-суль-калор,италия,кастельветере-суль-калоре	Castelvetere_sul_Calore
коимбра,,коимбра	Coimbra
кампотосто,италия,кампотосто	Campotosto
моршин,украина,моршин	Morshyn
ковингтон,соединять штат америка,сша,америка,ковингтон	Covington,_Kentucky
кудиркос-науместис,литва,кудиркос-науместис	Kudirkos_Naumiestis
монтединов,италия,монтединове	Montedinove
колл-умбреть,италия,колле-умбрето	Colle_Umberto
камень-каширский,украина,камень-каширский	Kamin-Kashyrskyi
монт-гримать-терм,италия,монте-гримано-терме	Monte_Grimano
кариньо,испания,кариньо	Cariño
кальви-дель-умбрия,италия,кальви-дель-умбрия	Calvi_dell'Umbria
монтелла,италия,монтелла	Montella
марчеллина,италия,марчеллина	Marcellina
лумедзане,италия,лумедзане	Lumezzane
кумать,япония,кумано	Kumano,_Mie
камие,айдахо,соединять штат америка,сша,америка,камия	Kamiah,_Idaho
лальо,италия,лальо	Laglio
кайсери,турция,кайсери	Kayseri
кастильехар,испания,кастильехар	Castilléjar
кассано-спинол,италия,кассано-спинола	Cassano_Spinola
лорейн,дакота,северный дакота,соединять штат америка,сша,америка,лорейн	Loraine,_North_Dakota
мотихарь,индия,мотихари	Motihari
крокодилополь,,крокодилополь	Crocodilopolis
лессон,италия,лессона	Lessona
кастеллетто-ди-брандуццо,италия,кастеллетто-ди-брандуццо	Castelletto_di_Branduzzo
липтовски-микулаш,словакия,липтовски-микулаш	Liptovský_Mikuláš
казарать,италия,казарано	Casarano
мериндад-де-вальдепоррес,испания,мериндад-де-вальдепоррес	Merindad_de_Valdeporres
лихтенштейг,швейцария,лихтенштейг	Lichtensteig
кория,касерес,испания,кория	Coria,_Cáceres
лейк-хенри,город,миннесота,соединять штат америка,сша,америка,лейк-хенри	Lake_Henry,_Minnesota
коломер,испания,коломера	Colomera
коллебеато,италия,коллебеато	Collebeato
могельница,польша,могельница	Mogielnica
моссано,италия,моссано	Mossano
кобден,город,миннесота,соединять штат америка,сша,америка,кобден	Cobden,_Minnesota
морный,италия,морнаго	Mornago
лит,шотландия,великобритания,лит	Leith
мерч,австрия,мёрчах	Mörtschach
мериндад-де-вальдивьельсо,испания,мериндад-де-вальдивьельсо	Merindad_de_Valdivielso
кармена,испания,кармена	Carmena
михайловка,город,россия,волгоградский область,михайловка	Mikhaylovka,_Volgograd_Oblast
ла-секер-де-ас,испания,ла-секера-де-аса	La_Sequera_de_Haza
котбабад,иран,котбабад	Qotbabad
ла-плата,город,,ла-плата	La_Plata
коростень,украина,коростень	Korosten
кастельново-бариано,италия,кастельново-бариано	Castelnovo_Bariano
кирьят-гат,израиль,кирьят-гат	Kiryat_Gat
камподенно,италия,камподенно	Campodenno
камбукир,бразилия,камбукира	Cambuquira
ладзизе,италия,ладзизе	Lazise
лайся,китайский народный республика,китай,кнр,лайси	Laixi
ленол,италия,ленола	Lenola,_Lazio
молодогвардейск,украина,молодогвардейск	Molodohvardiysk
коссоин,италия,коссоине	Cossoine
лиекс,,лиекса	Lieksa
мур,оклахома,соединять штат америка,сша,америка,мур	Moore,_Oklahoma
монтеверждать-мариттимо,италия,монтеверди-мариттимо	Monteverdi_Marittimo
кариф,италия,карифе	Carife
меццан-ди-сотто,италия,меццане-ди-сотто	Mezzane_di_Sotto
кирово-чепецк,россия,кировский область,кирово-чепецк	Kirovo-Chepetsk
луганвилл,вануату,луганвилл	Luganville
миравече,испания,миравече	Miraveche
кастельманьо,италия,кастельманьо	Castelmagno
лантадилья,испания,лантадилья	Lantadilla
кеуруу,,кеуруу	Keuruu
кальватон,италия,кальватоне	Calvatone
монсеррато,италия,монсеррато	Monserrato
кушк,исфахан,иран,кушк	Kushk,_Iran
калач-на-дон,россия,волгоградский область,калач-на-дону	Kalach-na-Donu
мадиньяно,италия,мадиньяно	Madignano
лойперсдорф-кицладен,австрия,лойперсдорф-кицладен	Loipersdorf-Kitzladen
мбанза-конго,ангола,мбанза-конго	M'banza-Kongo
маноппелло,италия,маноппелло	Manoppello
монтальто-дора,италия,монтальто-дора	Montalto_Dora
канат,канада,каната	Kanata,_Ontario
лавис,италия,лавис	Lavis
литл-рок,арканзас,соединять штат америка,сша,америка,литл-рок	Little_Rock,_Arkansas
миньянего,италия,миньянего	Mignanego
кунсан,республика корея,корея,южный корея,кунсан	Gunsan
комунанца,италия,комунанца	Comunanza
монал,италия,монале	Monale
канд,коммуна,италия,канда	Canda
коркьяно,италия,коркьяно	Corchiano
масула,иран,масуле	Masuleh
моэн,италия,моэна	Moena
камини,италия,камини	Camini
мари,сирия,мари	Mari,_Syria
мелар,италия,мелара	Melara
кальдарола,италия,кальдарола	Caldarola
марц,австрия,марц	Marz,_Austria
лорелья,италия,лорелья	Loreglia
мархтренк,австрия,мархтренк	Marchtrenk
массино-висконти,италия,массино-висконти	Massino_Visconti
клето,италия,клето	Cleto
мисьесес-де-охед,испания,мисьесес-де-охеда	Micieces_de_Ojeda
конартехта,иран,конартехте	Konartakhteh
крумау-ама-камп,австрия,крумау-ам-камп	Krumau_am_Kamp
конарак,индия,конарак	Konark
кашин,россия,тверская область,кашин	Kashin_(town)
леттопалить,италия,леттопалена	Lettopalena
милето,италия,милето	Mileto
калич-аль-корновильо,италия,каличе-аль-корновильо	Calice_al_Cornoviglio
кошалин,польша,кошалин	Koszalin
кинтан-дель-марко,испания,кинтана-дель-марко	Quintana_del_Marco
кава-манар,италия,кава-манара	Cava_Manara
комло,венгрия,комло	Komló
кольфеличе,италия,кольфеличе	Colfelice
казоль,италия,казоли	Casoli
ласпунья,испания,ласпунья	Laspuña
казальсеруго,италия,казальсеруго	Casalserugo
керма,городище,керма	Kerma
монтабон,италия,монтабоне	Montabone
касас-де-рейн,испания,касас-де-рейна	Casas_de_Reina
кампонгтх,город,камбоджа,кампонгтхом	Kampong_Thom_(city)
ливония,мичиган,соединять штат америка,сша,америка,ливония	Livonia,_Michigan
мархег,австрия,мархег	Marchegg
камарена-де-ла-сьерра,испания,камарена-де-ла-сьерра	Camarena_de_la_Sierra
камеям,япония,камеяма	Kameyama,_Mie
липтовски-градка,словакия,липтовски-градок	Liptovský_Hrádok
монтелеон-ди-пул,италия,монтелеоне-ди-пулья	Monteleone_di_Puglia
кодр,,кодру	Codru,_Moldova
кенневик,соединять штат америка,сша,америка,кенневик	Kennewick,_Washington
кринс,швейцария,кринс	Kriens
кивассо,италия,кивассо	Chivasso
макино-айленд,соединять штат америка,сша,америка,макино-айленд	Mackinac_Island,_Michigan
кафассе,италия,кафассе	Cafasse
кремс-ан-дер-донау,австрия,кремс-ан-дер-донау	Krems_an_der_Donau
монтанье,провинция,тренто,италия,монтанье	Montagne,_Trentino
конститусьон,чили,чили,конститусьон	Constitución,_Chile
камерот,италия,камерота	Camerota
кумамото,город,,кумамото	Kumamoto
мурудешвар,индия,мурудешвара	Murudeshwara
карате-урио,италия,карате-урио	Carate_Urio
квалиано,италия,квалиано	Qualiano
касас-де-дон-гомес,испания,касас-де-дон-гомес	Casas_de_Don_Gómez
кольтурано,италия,кольтурано	Colturano
лаппеэнрант,,лаппеэнранта	Lappeenranta
моконезти,италия,моконези	Mocònesi
кастаньола-делле-ланец,италия,кастаньоле-делле-ланце	Castagnole_delle_Lanze
куэнка,эквадор,эквадор,куэнка	Cuenca,_Ecuador
ла-неввиль,швейцария,ла-нёввиль	La_Neuveville
менгабриль,испания,менгабриль	Mengabril
монт-санта-анджело,италия,монте-сант-анджело	Monte_Sant'Angelo
кастельдельчить,италия,кастельдельчи	Casteldelci
калитрить,италия,калитри	Calitri
калера-де-леон,испания,калера-де-леон	Calera_de_León
красник,польша,красник	Kraśnik
кашинетта-д’ивреа,италия,кашинетте-д’ивреа	Cascinette_d'Ivrea
майами-бич,соединять штат америка,сша,америка,майами-бич	Miami_Beach,_Florida
монтефалькон-аппеннино,италия,монтефальконе-аппеннино	Montefalcone_Appennino
мотт-висконти,италия,мотта-висконти	Motta_Visconti
корелья-лигур,италия,корелья-лигуре	Coreglia_Ligure
карасук,город,россия,новосибирский область,карасук	Karasuk,_Novosibirsk_Oblast
лапедон,италия,лапедона	Lapedona
монтедземоло,италия,монтедземоло	Montezemolo
мейнард,город,миннесота,соединять штат америка,сша,америка,мейнард	Maynard,_Minnesota
монтемайор,испания,монтемайор	Montemayor
клайн-нойзидль,австрия,клайн-нойзидль	Klein-Neusiedl
костаччаро,италия,костаччаро	Costacciaro
мэйсон,огайо,соединять штат америка,сша,америка,мэйсон	Mason,_Ohio
кутро,италия,кутро	Cutro
лидзбарк,польша,лидзбарк	Lidzbark
коринф,греция,коринф	Corinth
мардины,турция,мардин	Mardin
мансдорф-ан-дер-донау,австрия,мансдорф-ан-дер-донау	Mannsdorf_an_der_Donau
кодль,румыния,кодля	Codlea
капральба,италия,капральба	Capralba
монтелеон-ди-фермо,италия,монтелеоне-ди-фермо	Monteleone_di_Fermo
маттий,италия,маттие	Mattie,_Piedmont
коллармела,италия,коллармеле	Collarmele
манассас-парк,виргиния,соединять штат америка,сша,америка,манассас-парк	Manassas_Park,_Virginia
медзокорона,италия,медзокорона	Mezzocorona
мазер,венето,италия,мазер	Maser,_Veneto
коллесальветти,италия,коллесальветти	Collesalvetti
куарт-де-уэрв,испания,куарте-де-уэрва	Cuarte_de_Huerva
кассано-д’адда,италия,кассано-д’адда	Cassano_d'Adda
куджоно,италия,куджоно	Cuggiono
киров,область,калужский область,россия,калужский область,киров	Kirov,_Kaluga_Oblast
мадонна-дель-сассо,италия,мадонна-дель-сассо	Madonna_del_Sasso,_Piedmont
клокей,город,миннесота,соединять штат америка,сша,америка,клокей	Cloquet,_Minnesota
лоскорралес,испания,лоскорралес	Loscorrales
красный,чехия,чехия,красно	Krásno_(Sokolov_District)
конкордия-саджиттария,италия,конкордия-саджиттария	Concordia_Sagittaria
мароантсер,,мароантсера	Maroantsetra
калольциокорт,италия,калольциокорте	Calolziocorte
массацца,италия,массацца	Massazza
кресент-сити,калифорния,соединять штат америка,сша,америка,кресент-сити	Crescent_City,_California
куртароло,италия,куртароло	Curtarolo
лониго,италия,лониго	Lonigo
кологрив,россия,костромской область,кологрив	Kologriv
лос-навальморалес,испания,лос-навальморалес	Los_Navalmorales
кансано,италия,кансано	Cansano
маалот-таршиха,израиль,маалот-таршиха	Ma'alot-Tarshiha
красный лиман,украина,красный лиман	Krasnyi_Lyman
мария-анцбах,австрия,мария-анцбах	Maria_Anzbach
лайно-лейкс,город,миннесота,соединять штат америка,сша,америка,лайно-лейкс	Lino_Lakes,_Minnesota
момбельтран,испания,момбельтран	Mombeltrán
