ольба,испания,Ольба	Olba,_Aragon
олдем,великобритания,Олдем	Oldham
оссонвиль,франция,коммуна,Оссонвиль	Haussonville
оф,турция,город,Оф	Of,_Turkey
орявый,украина,село,Орява 	Oriava
омесса,франция,коммуна,Омесса	Omessa
ояма,япония,город,Ояма 	Oyama,_Tochigi
окинава,япония,префектура,город,Окинава 	Okinawa_Prefecture
обердакштеттен,германия,коммуна,Обердакштеттен	Oberdachstetten
ойтинген-они-гой,германия,коммуна,Ойтинген-им-Гой	Eutingen_im_Gäu
орис,испания,муниципалитет,Орис	Orís
отажет,франция,коммуна,Отажет	Hautaget
оно,япония,фукусима,поселок,посёлок,Оно 	Ono,_Fukushima
окно,польша,деревня,куявский-поморский воеводство,Окна 	Okna,_Kuyavian-Pomeranian_Voivodeship
оффенбюттель,германия,коммуна,Оффенбюттель	Offenbüttel
ор,франция,коммуна,верхний гаронна,Ор 	Ore,_Haute-Garonne
окум,япония,посёлок,Окума	Ōkuma,_Fukushima
озерск,россия,калининградский область,Озёрск 	Ozyorsk,_Kaliningrad_Oblast
огненный,болгария,село,Огнен	Ognen
олон,франция,коммуна,верхний гаронна,Олон 	Aulon,_Haute-Garonne
осьно-любуск,польша,город,Осьно-Любуске	Ośno_Lubuskie
ованш,франция,коммуна,Ованш	Ovanches
охос,испания,муниципалитет,Охос	Ojós
омутинский район,россия,село,Омутинский район	Omutinsky_District
ольборг,дания,город,Ольборг	Aalborg
ортесуэла-де-осен,испания,Ортесуэла-де-Осен	Hortezuela_de_Océn
отеван,армения,село,Отеван	Otevan
орханель,турция,город,Орханели	Orhaneli
осор,испания,испания,муниципалитет,Осор 	Osor,_Girona
острув-мазовецк,польша,город,Острув-Мазовецка	Ostrów_Mazowiecka
ордзинуови,италия,город,Ордзинуови	Orzinuovi
одисхайм,германия,коммуна,Одисхайм	Odisheim
огуни,япония,посёлок,ямагата,Огуни 	Oguni,_Yamagata
оз,франция,коммуна,Оза 	Auzat
орисаб,мексика,город,Орисаба	Orizaba
осташков,россия,Осташков	Ostashkov
обершлирбах,австрия,коммуна,Обершлирбах	Oberschlierbach
обинг,германия,коммуна,Обинг	Obing
одр-писуэрг,испания,район,Одра-Писуэрга	Odra-Pisuerga
обервайлер-они-таль,германия,коммуна,Обервайлер-им-Таль	Oberweiler_im_Tal
онгар,ирландия,Онгар	Ongar,_Dublin
орьон,франция,коммуна,Орьон	Orion,_Pyrénées-Atlantiques
омат,перо,город,Омате	Omate
оброчишт,болгария,село,Оброчиште	Obrochishte
округ 07,германия,дюссельдорф,Округ 07 	District_7,_Düsseldorf
остеллато,италия,Остеллато	Ostellato
оберн-хилс,соединять штат америка,город,Оберн-Хилс	Auburn_Hills,_Michigan
острув-велькопольский,польша,город,Острув-Велькопольский	Ostrów_Wielkopolski
обус,франция,коммуна,Обус	Aubous
окан,франция,коммуна,Окана 	Ocana,_Corse-du-Sud
омидийе,иран,город,шахрестан,Омидийе 	Omidiyeh_County
окусывать-амбеный,восточный тимор,город,Окуси-Амбено	Oecusse_District
оберхофен-ама-тунерзкий,швейцария,город,Оберхофен-ам-Тунерзее	Oberhofen_am_Thunersee
ольвето-читр,италия,коммуна,Ольвето-Читра	Oliveto_Citra
острувский повенок,польша,город,мазовецкий воеводство,Острувский повят 	Ostrów_Mazowiecka_County
ожан-мурнед,франция,коммуна,Ожан-Мурнед	Aujan-Mournède
орлеан,франция,город,Орлеан	Orléans
озарк,соединять штат америка,округ,миссури,Озарк 	Ozark_County,_Missouri
онгерманланд,швеция,Онгерманланд	Ångermanland
оледжо-кастелло,италия,коммуна,Оледжо-Кастелло	Oleggio_Castello
ольястро,франция,коммуна,Ольястро	Ogliastro
о-де-сено,франция,О-де-Сен	Hauts-de-Seine
олонецкий район,россия,Олонецкий район	Olonetsky_District
охота,польша,варшава,Охота 	Ochota
оливол,италия,коммуна,Оливола	Olivola
очаков,украина,город,Очаков	Ochakiv
орша,франция,коммуна,Орши	Orchies
ортенбург,германия,коммуна,бавария,Ортенбург 	Ortenburg_(Bavaria)
оттон,италия,Оттоне	Ottone,_Emilia-Romagna
оберриден,швейцария,цюрих,коммуна,Оберриден 	Oberrieden
оялес-де-роа,испания,Оялес-де-Роа	Hoyales_de_Roa
ошануть,болгария,село,Ошаните	Oshanite
ортоландий,бразилия,Ортоландия	Hortolândia
онгль,франция,коммуна,Онгль	Ongles
осас-сюар,франция,коммуна,Осас-Сюар	Ossas-Suhare
оккенхайм,германия,коммуна,Оккенхайм	Ockenheim
обрицберг-руст,австрия,Обрицберг-Руст	Obritzberg-Rust
оршвиллер,франция,коммуна,Оршвиллер	Orschwiller
огасс,испания,Огасса	Ogassa
орать,алжир,вилайет,Оран 	Oran_Province
ореховчик,украина,село,Ореховчик	Orykhivchyk
ольерия,испания,Ольерия	L'Olleria
олинда,бразилия,муниципалитет,Олинда	Olinda
онея,франция,коммуна,Онёй	Auneuil
ориндж,соединять штат америка,город,техас,Ориндж 	Orange,_Texas
орай,индия,город,Орай 	Orai
оз,франция,верхний альпы,коммуна,Оз 	Oze
ондфонтен,франция,коммуна,Ондфонтен	Ondefontaine
обернхоф,германия,коммуна,Обернхоф	Obernhof
ольтный,швейцария,город,Ольтен	Olten
обудовац,республика сербский,Обудовац	Obudovac
оппед,франция,коммуна,Оппед	Oppède
оспедалетто-лодиджано,италия,коммуна,Оспедалетто-Лодиджано	Ospedaletto_Lodigiano
ольшина,польша,гмина,Ольшина 	Gmina_Olszyna
оберзин,германия,Оберзин	Obersinn
ольнуа-су-лан,франция,коммуна,Ольнуа-су-Лан	Aulnois-sous-Laon
оломоуцкий край,чехия,город,Оломоуцкий край	Olomouc_Region
обер-мерлен,германия,коммуна,Обер-Мёрлен	Ober-Mörlen
олдборо,великобритания,город,Олдборо	Aldeburgh
омаэдзаки,япония,город,Омаэдзаки	Omaezaki
ор-акива,израиль,город,Ор-Акива	Or_Akiva
орра,соединять штат америка,город,миннесота,Орр 	Orr,_Minnesota
оттерсберг,германия,коммуна,Оттерсберг	Ottersberg
оутес,испания,Оутес	Outes
огбомошо,нигерия,город,Огбомошо	Ogbomosho
обераул,германия,коммуна,Обераула	Oberaula
ослос,германия,коммуна,Ослос	Osloß
оттерберг,германия,город,Оттерберг	Otterberg
осер,франция,город,Осер	Auxerre
омолон,россия,село,Омолон 	Omolon_(rural_locality)
огастый,соединять штат америка,арканзас,Огаста 	Augusta,_Arkansas
орлица,болгария,село,Орлица 	Orlitsa
оребич,хорватия,община,Оребич	Orebić
орша,белоруссия,город,Орша	Orsha
острожский район,украина,Острожский район	Ostroh_Raion
осло,норвегия,столица,Осло	Oslo
олюторский район,россия,село,Олюторский район	Olyutorsky_District
отранто,италия,Отранто	Otranto
оанес,испания,муниципалитет,Оанес	Ohanes
онтарио,соединять штат америка,нью-йорк,округ,Онтарио 	Ontario_County,_New_York
остель,франция,коммуна,эна,Остель 	Ostel
оддерад,германия,коммуна,Оддераде	Odderade
остерайштедт,германия,коммуна,Остерайштедт	Ostereistedt
оруджлу,азербайджан,село,Оруджлу	Oruçlu,_Kalbajar
обертен,франция,коммуна,Обертен	Aubertin
орельян,эквадор,провинция,город,Орельяна 	Orellana_Province
остров врангель,россия,Остров Врангеля	Wrangel_Island
оберперфус,австрия,коммуна,Оберперфус	Oberperfuss
оллолай,италия,коммуна,Оллолаи	Ollolai
ольмос-де-эсгева,испания,Ольмос-де-Эсгева	Olmos_de_Esgueva
ориджо,италия,коммуна,Ориджо	Origgio
оплани,чехия,община,Оплани	Oplany
оддармеантья,камбоджа,провинция,Оддармеантьей	Oddar_Meanchey_Province
оккьятан,франция,коммуна,Оккьятана	Occhiatana
онет,италия,коммуна,Онета	Oneta,_Lombardy
остров нансен,россия,земля франц-иосиф,Остров Нансена 	Nansena_Island_(Franz_Josef_Land)
обершенег,германия,коммуна,Обершёнег	Oberschönegg
ожен-камтор,франция,коммуна,Ожен-Камтор	Ogenne-Camptort
ось-ле-шато,франция,коммуна,Оси-ле-Шато	Auxi-le-Château
ораниенбаум,германия,саксония-анхальт,район,Ораниенбаум 	Oranienbaum,_Germany
орвинио,италия,коммуна,Орвинио	Orvinio
омарск,босния и герцеговина,Омарска	Omarska
отревиль-сюр-мозель,франция,коммуна,Отревиль-сюр-Мозель	Autreville-sur-Moselle
осиповичи,белоруссия,город,Осиповичи	Asipovichy
обердоллинг,германия,коммуна,Обердоллинг	Oberdolling
ойас,италия,коммуна,Ойас	Oyace
октябрьский район,россия,село,костромской область,Октябрьский район 	Oktyabrsky_District,_Kostroma_Oblast
орляк,болгария,село,Орляк 	Orlyak
оберхоф,германия,город,Оберхоф	Oberhof,_Germany
одивелаш,португалия,феррейра-ду-алентеж,Одивелаш 	Odivelas,_Ferreira_do_Alentejo
оберциссен,германия,коммуна,Оберциссен	Oberzissen
окабина,соединять штат америка,город,миннесота,Окабина 	Okabena,_Minnesota
оргоросый,уругвай,населённый пункт,Оргоросо	Orgoroso
оден,испания,муниципалитет,Одена	Òdena
орлув,польша,село,малопольский воеводство,Орлув 	Orłów,_Lesser_Poland_Voivodeship
ориндж,соединять штат америка,округ,флорида,Ориндж 	Orange_County,_Florida
одсхерред,дания,коммуна,Одсхерред 	Odsherred_Municipality
оберлойсдорф,австрия,коммуна,Оберлойсдорф	Oberloisdorf
ортизей,италия,коммуна,Ортизеи	Urtijëi
оберндорф-ин-тироль,австрия,коммуна,Оберндорф-ин-Тироль	Oberndorf_in_Tirol
оберрида-ама-бринцерзкий,швейцария,коммуна,Оберрид-ам-Бринцерзее	Oberried_am_Brienzersee
островский район,россия,псковский область,Островский район 	Ostrovsky_District,_Pskov_Oblast
от,франция,коммуна,От 	Authe
онс-ди-питанг,бразилия,Онса-ди-Питанги	Onça_de_Pitangui
окильяс,испания,Окильяс	Oquillas
обжа,франция,коммуна,Обжа 	Objat
оринья,франция,коммуна,Ориньи	Origny
окур-мулен,франция,коммуна,Окур-Мулен	Haucourt-Moulaine
обердраубург,австрия,Обердраубург	Oberdrauburg
орсный,франция,коммуна,Орсён	Orsennes
они,бельгия,бельгия,коммуна,Оне 	Onhaye
октябрьский район,россия,калмыкия,Октябрьский район 	Oktyabrsky_District,_Republic_of_Kalmykia
ордубад,азербайджан,город,Ордубад	Ordubad
окалус,соединять штат америка,округ,флорида,Окалуса 	Okaloosa_County,_Florida
оводда,италия,коммуна,Оводда	Ovodda
оргозоло,италия,коммуна,Оргозоло	Orgosolo
ороно,соединять штат америка,город,миннесота,Ороно 	Orono,_Minnesota
оттан,италия,коммуна,Оттана	Ottana
олешица,польша,гмина,Олешице 	Gmina_Oleszyce
оллендорф,германия,коммуна,Оллендорф	Ollendorf
обервизный,германия,коммуна,Обервизен	Oberwiesen
оршвир,франция,коммуна,Оршвир	Orschwihr
оратовский район,украина,посёлок,Оратовский район	Orativ_Raion
оханск,россия,город,Оханск	Okhansk
оменья,италия,коммуна,Оменья	Omegna
ореховский район,украина,Ореховский район	Orikhiv_Raion
огродзенец,польша,Огродзенец	Ogrodzieniec
орор,канада,онтарио,город,Орора 	Aurora,_Ontario
оярсун,испания,муниципалитет,Оярсун	Oiartzun
осон,франция,верхний сона,коммуна,Осон 	Auxon,_Haute-Saône
орансан,франция,жер,коммуна,Орансан 	Aurensan,_Gers
орносый,испания,город,Орнос	Hornos
очаково-матвеевский,россия,район,Очаково-Матвеевское	Ochakovo-Matveyevskoye_District
отрожный,россия,чукотский автономный округ,Отрожный 	Otrozhny,_Chukotka_Autonomous_Okrug
обстальден,швейцария,коммуна,гларус,Обстальден 	Obstalden
ольмшайд,германия,коммуна,Ольмшайд	Olmscheid
обернкирхен,германия,город,Обернкирхен	Obernkirchen
омский область,россия,город,Омская область	Omsk_Oblast
отасилиу-коста,бразилия,Отасилиу-Коста	Otacílio_Costa
округ 05,германия,дюссельдорф,Округ 05 	District_5,_Düsseldorf
олайне,латвия,город,Олайне	Olaine
оберндорф-на-леха,германия,коммуна,Оберндорф-на-Лехе	Oberndorf_am_Lech
очосондьюп,намибия,город,Очосондьюпа	Otjozondjupa_Region
оропес-дель-мара,испания,Оропеса-дель-Мар	Oropesa_del_Mar
оберхаузен,германия,коммуна,бад-бергцаберн,Оберхаузен 	Oberhausen,_Südliche_Weinstraße
одорхей-секуеск,румыния,город,Одорхею-Секуеск	Odorheiu_Secuiesc
орадур,франция,шарант,коммуна,Орадур 	Oradour,_Charente
орешница,болгария,село,Орешница	Oreshnitsa
обручевский район,россия,Обручевский район	Obruchevsky_District
онд,франция,коммуна,Онд	Ondes
оберхаузен-бай-кирн,германия,коммуна,Оберхаузен-бай-Кирн	Oberhausen_bei_Kirn
оппеть,соединять штат америка,арканзас,Оппело 	Oppelo,_Arkansas
оберперинг,германия,коммуна,Оберпёринг	Oberpöring
ольденбург,германия,Ольденбург	Oldenburg
онуфриевский район,украина,Онуфриевский район	Onufriivka_Raion
олдни,соединять штат америка,город,миннесота,Олден 	Alden,_Minnesota
опочецкий район,россия,город,Опочецкий район	Opochetsky_District
о’каллахансмилс,ирландия,деревня,О’Каллахансмилс	O'Callaghans_Mills
оркахо-де-ла-сьерра,испания,муниципалитет,Оркахо-де-ла-Сьерра	Horcajo_de_la_Sierra
онтальбилие,испания,Онтальбилья	Hontalbilla
ойгендорф,австрия,Ойгендорф	Eugendorf
олбануть,соединять штат америка,нью-йорк,округ,Олбани 	Albany_County,_New_York
орловат,сербия,населённый пункт,Орловат	Orlovat
оттендорф-окрилла,германия,коммуна,Оттендорф-Окрилла	Ottendorf-Okrilla
ойердорф,германия,коммуна,Ойердорф	Euerdorf
орчано-ди-пезаро,италия,коммуна,Орчано-ди-Пезаро	Orciano_di_Pesaro
оделеть,португалия,район,Оделейте	Odeleite
опанец,болгария,добричский область,село,Опанец 	Opanets,_Dobrich_Province
ольский городской округ,россия,посёлок,Ольский городской округ	Olsky_District
огденсберг,соединять штат америка,город,Огденсберг	Ogdensburg,_New_York
окампо,мексика,муниципалитет,чиуауа,Окампо 	Ocampo_Municipality,_Chihuahua
озан,франция,коммуна,Озан 	Ozan,_Ain
оранг,пакистан,Оранги	Orangi_Town
остхофен,германия,город,Остхофен	Osthofen
обереша,швейцария,коммуна,Оберёш	Oberösch
ольвес,испания,Ольвес	Olvés
островица,болгария,село,Островица	Ostrovitsa
орехать,испания,муниципалитет,Орехана	Orejana
обербиллиг,германия,коммуна,Обербиллиг	Oberbillig
ойтный,германия,коммуна,Ойтен	Oyten
ортале,франция,коммуна,Ортале	Ortale
оццано-монферрато,италия,коммуна,Оццано-Монферрато	Ozzano_Monferrato
орель-верлак,франция,коммуна,Орель-Верлак	Aurelle-Verlac
онифая,италия,коммуна,Онифаи	Onifai
олькуш,польша,город,Олькуш	Olkusz
ормеа,италия,коммуна,Ормеа	Ormea
обинья,франция,кальвадос,коммуна,Обиньи 	Aubigny,_Calvados
ольстер,великобритания,Ольстер	Ulster
орос,бразилия,город,бразилия,Орос 	Orós
оберкац,германия,коммуна,Оберкац	Oberkatz
оберар,германия,коммуна,Оберар	Oberahr
озный,италия,коммуна,Ознаго	Osnago
остерштедт,германия,коммуна,Остерштедт	Osterstedt
обер-рамштадт,германия,город,Обер-Рамштадт	Ober-Ramstadt
орадур,франция,коммуна,канталь,Орадур 	Oradour,_Cantal
ортенау,германия,район,Ортенау 	Ortenaukreis
острогожский район,россия,Острогожский район	Ostrogozhsky_District
орпьер,франция,коммуна,Орпьер	Orpierre
отерлек,нидерланды,деревня,Отерлек	Oterleek
отто-ле-баг,франция,коммуна,Отто-ле-Баг	Hottot-les-Bagues
обоянский район,россия,Обоянский район	Oboyansky_District
ольдендорф,германия,коммуна,луэ,Ольдендорф 	Oldendorf_(Luhe)
осон,франция,об,коммуна,Осон 	Auxon,_Aube
орроли,италия,коммуна,Орроли	Orroli
оберзимтен,германия,коммуна,Оберзимтен	Obersimten
орать-бранка,бразилия,риу-гранди-ду-норти,Ору-Бранку 	Ouro_Branco,_Rio_Grande_do_Norte
оваро,италия,Оваро	Ovaro
онуфриевский район,украина,посёлок,Онуфриевский район	Onufriivka_Raion
оранж,франция,город,Оранж	Orange,_Vaucluse
олдамбт,нидерланды,община,Олдамбт	Oldambt_(municipality)
ольмильос-де-кастро,испания,Ольмильос-де-Кастро	Olmillos_de_Castro
оксфордшир,великобритания,Оксфордшир	Oxfordshire
оча,венгрия,город,Оча	Ócsa
ор,бельгия,бельгия,коммуна,Оре 	Oreye
оберкуннерсдорф,германия,коммуна,Оберкуннерсдорф	Obercunnersdorf
оберельц,германия,коммуна,Оберельц	Oberelz
обервельц-штадт,австрия,город,Обервёльц-Штадт	Oberwölz_Stadt
осорный,чили,город,Осорно	Osorno,_Chile
окен,франция,коммуна,Окён	Aucun
олдрич,соединять штат америка,город,миннесота,Олдрич 	Aldrich,_Minnesota
очаковский район,украина,город,Очаковский район	Ochakiv_Raion
обервис,германия,коммуна,Обервис	Oberwies
оливейра-дус-брежиньюс,бразилия,Оливейра-дус-Брежиньюс	Oliveira_dos_Brejinhos
олд-орчард-бич,соединять штат америка,город,мэн,Олд-Орчард-Бич 	Old_Orchard_Beach,_Maine
олье-д’агуа-ду-боржис,бразилия,Олью-д’Агуа-ду-Боржис	Olho-d'Água_do_Borges
омоа,франция,Омоа	Omo'a
одринци,болгария,добричский область,село,Одринци 	Odrintsi,_Dobrich_Province
озвиль-толозан,франция,коммуна,Озвиль-Толозан	Auzeville-Tolosane
овад,италия,коммуна,Овада	Ovada
ольянико,италия,коммуна,Ольянико	Oglianico
орлов,россия,город,Орлов 	Orlov,_Kirov_Oblast
омбрадос,испания,Омбрадос	Hombrados
орлово,болгария,село,хасковский область,Орлово 	Orlovo,_Haskovo_Province
обервайлер,германия,айфель,коммуна,Обервайлер 	Oberweiler
оленхард,германия,коммуна,Оленхард	Ohlenhard
олевать-романо,италия,коммуна,Олевано-Романо	Olevano_Romano
окуловский район,россия,Окуловский район	Okulovsky_District
округ 03,германия,дюссельдорф,Округ 03 	District_3,_Düsseldorf
обераммергау,германия,коммуна,Обераммергау	Oberammergau
онань,италия,коммуна,Онани	Onanì
ориландий-ду-норти,бразилия,Ориландия-ду-Норти	Ourilândia_do_Norte
оксовский,россия,посёлок,Оксовский	Oksovsky
ольтинген,швейцария,коммуна,Ольтинген	Oltingen
одюбон,соединять штат америка,айова,город,Одюбон 	Audubon,_Iowa
отреманкур,франция,коммуна,Отреманкур	Autremencourt
остерхольц,германия,район,Остерхольц 	Osterholz
островец,болгария,болгария,село,Островец 	Ostrovets
онд-верди,бразилия,Онда-Верди	Onda_Verde
от,франция,мерт  мозель,коммуна,От 	Othe
обертребро,германия,коммуна,Обертребра	Obertrebra
оппенберг,австрия,штирия,коммуна,Оппенберг 	Oppenberg
олокау-дель-рей,испания,Олокау-дель-Рей	Olocau_del_Rey
ориуэла,испания,город,Ориуэла	Orihuela
окснард,соединять штат америка,Окснард	Oxnard,_California
одаленго-пикколо,италия,коммуна,Одаленго-Пикколо	Odalengo_Piccolo
опьо,франция,коммуна,Опьо	Opio,_Alpes-Maritimes
омутнинск,россия,город,Омутнинск	Omutninsk
оттобойрен,германия,коммуна,Оттобойрен	Ottobeuren
орель,франция,коммуна,воклюз,Орель 	Aurel,_Vaucluse
округ 01,германия,дюссельдорф,Округ 01 	District_1,_Düsseldorf
орнуа-ле-бур,франция,коммуна,Орнуа-ле-Бур	Hornoy-le-Bourg
оршанский район,россия,марья эл,Оршанский район 	Orshansky_District
ориньяк,франция,коммуна,верхний гаронна,Ориньяк 	Aurignac
орсаго,италия,коммуна,Орсаго	Orsago
обербипп,швейцария,коммуна,Обербипп	Oberbipp
острый-орштедт,германия,коммуна,Остер-Орштедт	Oster-Ohrstedt
онега,россия,город,Онега 	Onega,_Russia
ольсбах,германия,коммуна,Ольсбах	Ohlsbach
орхангази,турция,город,Орхангази	Orhangazi
оберрордорф,швейцария,коммуна,Оберрордорф	Oberrohrdorf
окленд,соединять штат америка,флорида,Окленд 	Oakland,_Florida
ор,франция,франция,коммуна,Оре 	Auray
орланци,республика македония,село,община арачиново,Орланци 	Orlanci
отмухув,польша,Отмухув	Otmuchów
ойо,нигерия,город,Ойо 	Oyo,_Oyo_State
обервамб,германия,коммуна,Обервамбах	Oberwambach
орсанко,франция,коммуна,Орсанко	Orsanco
остабат-асма,франция,коммуна,Остабат-Асм	Ostabat-Asme
осиковый,болгария,село,благоевградский область,Осиково 	Osikovo,_Blagoevgrad_Province
одресь,франция,коммуна,Одреси	Haudrecy
ортенберг,германия,город,гессен,Ортенберг 	Ortenberg,_Hesse
ойон,перо,провинция,Ойон 	Oyón_Province
ороп,греция,Ороп	Oropos
окленд-парк,соединять штат америка,город,Окленд-Парк	Oakland_Park,_Florida
омбес-де-лавалье,уругвай,город,Омбес-де-Лавалье	Ombúes_de_Lavalle
офтринген,швейцария,коммуна,Офтринген	Oftringen
оже-ле-бен,франция,коммуна,Ожё-ле-Бен	Ogeu-les-Bains
ориньюс,бразилия,муниципалитет,Ориньюс	Ourinhos
оберурнять,швейцария,коммуна,Оберурнен	Oberurnen
оберштадтфельд,германия,коммуна,Оберштадтфельд	Oberstadtfeld
оффанья,италия,коммуна,Оффанья	Offagna
ольштын,польша,город,Ольштын	Olsztyn
оберцайринг,австрия,Оберцайринг	Oberzeiring
олово,босния и герцеговина,босния и герцеговина,город,Олово 	Olovo
отирать-иссар,франция,коммуна,Отри-Иссар	Autry-Issards
обертиллиах,австрия,коммуна,Обертиллиах	Obertilliach
осон,франция,округ сено-годенс,коммуна,Осон 	Ausson
офен,италия,коммуна,Офена	Ofena
орор,соединять штат америка,южный дакота,округ,Орора 	Aurora_County,_South_Dakota
оттштедт-ама-берг,германия,коммуна,Оттштедт-ам-Берге	Ottstedt_am_Berge
осун,испания,населённый пункт,Осуна	Osuna
оффид,италия,коммуна,Оффида	Offida
орцево,болгария,село,Орцево	Ortsevo
ориндж,соединять штат америка,калифорния,округ,Ориндж 	Orange_County,_California
оденсе,дания,Оденсе	Odense
оберрод,германия,коммуна,Оберрод	Oberrod
омблиер,франция,коммуна,Омблиер	Homblières
оливейринья,португалия,Оливейринья	Oliveirinha
оберстенфельд,германия,коммуна,Оберстенфельд	Oberstenfeld
охинага,мексика,город,Охинага	Ojinaga
огузский район,азербайджан,Огузский район	Oghuz_District
обриеж,босния и герцеговина,село,Обриеж	Obrijež
остье,франция,коммуна,Остья	Hostiaz
озоппо,италия,Озоппо	Osoppo
одаленго-гранд,италия,коммуна,Одаленго-Гранде	Odalengo_Grande
ольгер,испания,муниципалитет,Ольгера	Holguera
отрить,франция,алье,коммуна,Отрив 	Hauterive,_Allier
обершнайдинг,германия,коммуна,Обершнайдинг	Oberschneiding
озаска,бразилия,город,Озаску	Osasco
обервир,германия,коммуна,Обервира	Oberwiera
оринья-сент-бенуат,франция,коммуна,Ориньи-Сент-Бенуат	Origny-Sainte-Benoite
осен-э-англь,франция,коммуна,Осён-э-Англь	Ossun-ez-Angles
ортадж,турция,город,Ортаджа	Ortaca
ольденбург,германия,район,Ольденбург 	Oldenburg_(district)
обертраублинг,германия,коммуна,Обертраублинг	Obertraubling
ольшанский район,украина,Ольшанский район	Vilshanka_Raion
орм,франция,об,коммуна,Орм 	Ormes,_Aube
орт-они-иннкрайс,австрия,коммуна,Орт-им-Иннкрайс	Ort_im_Innkreis
орс,испания,населённый пункт,Орсе	Orce
ольмичча,франция,коммуна,Ольмичча	Olmiccia
одоевский район,россия,Одоевский район	Odoyevsky_District
оттерндорф,германия,город,Оттерндорф	Otterndorf
оржеваль,франция,коммуна,эна,Оржеваль 	Orgeval,_Aisne
орнет,польша,гмина,Орнета 	Gmina_Orneta
отцинг,германия,коммуна,Отцинг	Otzing
ортачезус,италия,коммуна,Ортачезус	Ortacesus
обердиб,германия,коммуна,Обердибах	Oberdiebach
оберглатт,швейцария,коммуна,Оберглатт	Oberglatt
обергюнцбург,германия,коммуна,Обергюнцбург	Obergünzburg
омаха,соединять штат америка,Омаха	Omaha,_Nebraska
орьяк-сюр-вандинель,франция,коммуна,Орьяк-сюр-Вандинель	Auriac-sur-Vendinelle
овручский район,украина,город,Овручский район	Ovruch_Raion
орать-бранка,бразилия,муниципалитет,алагоас,Ору-Бранку 	Ouro_Branco,_Alagoas
остербуркен,германия,город,Остербуркен	Osterburken
осекать,польша,гмина,сташувский повенок,Осек 	Gmina_Osiek,_Świętokrzyskie_Voivodeship
отр-ле-сера,франция,коммуна,Отре-ле-Сер	Autrey-lès-Cerre
опицвет,болгария,село,Опицвет	Opitsvet
оберлихтенау,германия,коммуна,Оберлихтенау	Oberlichtenau
омахек,намибия,город,Омахеке	Omaheke_Region
одар,франция,коммуна,Одар 	Odars
онтэрио,соединять штат америка,калифорния,город,Онтэрио 	Ontario,_California
онайда,соединять штат америка,нью-йорк,округ,Онайда 	Oneida_County,_New_York
ольшан,украина,черкасский область,посёлок,Ольшана 	Vilshana
орт-де-сан-жоан,испания,Орта-де-Сан-Жоан	Horta_de_Sant_Joan
осувка,польша,деревня,куявский-поморский воеводство,Осувка 	Osówka,_Kuyavian-Pomeranian_Voivodeship
оппа,германия,коммуна,Оппах	Oppach
октябрьский район,россия,село,приморский край,Октябрьский район 	Oktyabrsky_District,_Primorsky_Krai
окуловка,россия,город,Окуловка	Okulovka_(town),_Novgorod_Oblast
оберзаксен,швейцария,коммуна,Оберзаксен	Obersaxen
ормсби,соединять штат америка,город,миннесота,Ормсби 	Ormsby,_Minnesota
ольп,германия,город,Ольпе	Olpe,_Germany
они,франция,об,коммуна,Оне 	Aulnay,_Aube
обертраун,австрия,коммуна,Обертраун	Obertraun
омерля,турция,город,Омерли	Ömerli,_Mardin
охойно,польша,село,Охойно	Ochojno
отсиго,соединять штат америка,город,миннесота,Отсиго 	Otsego,_Minnesota
олдтаун,ирландия,деревня,фингал,Олдтаун 	Oldtown,_Dublin
обазин,франция,коммуна,Обазин	Aubazine
обербукситный,швейцария,коммуна,Обербукситен	Oberbuchsiten
оберверресбах,германия,коммуна,Обервёрресбах	Oberwörresbach
отог-ци,китайский народный республика,Отог-Ци	Otog_Banner
остерхорн,германия,коммуна,Остерхорн	Osterhorn
обероппург,германия,коммуна,Обероппург	Oberoppurg
оротелль,италия,коммуна,Оротелли	Orotelli
обернойкирхен,австрия,Обернойкирхен	Oberneukirchen,_Austria
откур-романеш,франция,коммуна,Откур-Романеш	Hautecourt-Romanèche
остерберг,германия,коммуна,Остерберг	Osterberg
ориндиув,бразилия,Ориндиува	Orindiúva
орюкто,республика корея,Орюкто	Oryukdo
обтр,франция,коммуна,Обтре	Obtrée
осеново,болгария,варненский область,село,Осеново 	Osenovo,_Varna_Province
ольмет-ди-капокорсо,франция,коммуна,Ольмета-ди-Капокорсо	Olmeta-di-Capocorso
оз,франция,жер,коммуна,Оз 	Éauze
ойцув,польша,село,Ойцув	Ojców
ольмос-де-пеньяфьель,испания,Ольмос-де-Пеньяфьель	Olmos_de_Peñafiel
онтория-де-ла-кантер,испания,Онтория-де-ла-Кантера	Hontoria_de_la_Cantera
осака,япония,город,Осаки 	Ōsaki,_Miyagi
орлов-могила,болгария,село,Орлова-Могила	Orlova_mogila
опперсхаузен,германия,коммуна,Опперсхаузен	Oppershausen
отеро,испания,Отеро	Otero_(Spain)
оденвальд,германия,район,Оденвальд 	Odenwaldkreis
орать,франция,коммуна,Орю	Orus
орньяк-л’аван,франция,коммуна,Орньяк-л’Аван	Orgnac-l'Aven
обердорл,германия,коммуна,Обердорла	Oberdorla
омония,греция,район,район афины,Омония 	Omonoia,_Athens
ория,испания,испания,населённый пункт,Ория 	Oria,_Spain
оханский район,россия,город,Оханский район	Okhansky_District
оччимьяно,италия,коммуна,Оччимьяно	Occimiano
отог-цяньци,китайский народный республика,Отог-Цяньци	Otog_Front_Banner
